"id","schema","name","aliases","birth_date","countries","addresses","identifiers","sanctions","phones","emails","program_ids","dataset","first_seen","last_seen","last_change"
"NK-23KQszjFSyoT68XXDAcMbt","LegalEntity","IGOFX","","","","","","2017-07-31","","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2026-09-12T20:56:02","2024-04-23T00:00:00"
"NK-2BYxGKDGCMPtJFfdwSpzvL","LegalEntity","Al Ihsan","Al Ihsan Robo Capital","","","","","2024-01-23","","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2026-09-12T20:56:02","2024-04-23T00:00:00"
"NK-39didiccmRpkc5WDBZSeyv","LegalEntity","Master Binary","","","","","","2025-03-28","","","","Malaysia Financial Consumer Alert List","2025-03-29T20:56:05","2026-09-12T20:56:02","2025-03-29T20:56:05"
"NK-3Q4t4CXVniQ6CPYqtoq747","LegalEntity","i-Rakya Trader","i-RakyaTrader","","","","","2020-06-22","","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2026-09-12T20:56:02","2024-04-23T00:00:00"
"NK-4tyan8Q5rx6YmK9Jc6jt5b","LegalEntity","(AAA) Labur Saham Syariah (AAA) Asri Ahmad Academy Salam Mohd Asri Ahmad (SMAA) (Not related to Asri Ahmad Academy Sdn Bhd)","","","","","","2024-04-19","","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2026-09-12T20:56:02","2024-10-02T20:56:06"
"NK-4uvTmfEu2wm5pMFBdcWDtT","LegalEntity","Srgold Exchange Bhd (1033164-V)","","","","","","2013-11-12","","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2026-09-12T20:56:02","2024-04-23T00:00:00"
"NK-4yAPSeno9NumBLAx2uK7FG","LegalEntity","Amal Trust (002848059 - U)","","","","","","2020-06-22","","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2026-09-12T20:56:02","2024-04-23T00:00:00"
"NK-5j9EkFkpk8k2rhJ2ezb3es","LegalEntity","OctaFX","","","","","","2022-08-29","","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2026-09-12T20:56:02","2024-10-15T20:56:07"
"NK-5usYFcuuxJKbHyQDt39qvd","LegalEntity","DM Rise Enterprise (PG 0262929-H)","","","","","","2014-10-20","","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2026-09-12T20:56:02","2024-04-23T00:00:00"
"NK-9Z3FGLaSTxAvocjouQT3Ci","LegalEntity","Ethtrade Limited","","","","","","2017-06-22","","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2026-09-12T20:56:02","2024-04-23T00:00:00"
"NK-9jckaczP4c4LtTt7ErqpHH","LegalEntity","VI Profit Galaxy (DSV Cryptoclub & LUX Galaxies)","","","","","","2018-08-29","","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2026-09-12T20:56:02","2024-04-23T00:00:00"
"NK-ADiCBUGvWqgJx9y75FR47h","LegalEntity","Cash Deal Sdn Bhd (Boss Venture)","","","","","","2014-02-19","","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2026-09-12T20:56:02","2024-04-23T00:00:00"
"NK-BqszCMR2kGhiCsL7on677G","LegalEntity","Build Rich Enterprise","","","","","","2014-02-19","","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2026-09-12T20:56:02","2024-04-23T00:00:00"
"NK-DgJuq8423C8oMpVUgsaxCu","LegalEntity","Jalatama Management Sdn Bhd (929594-W)","","","","","","2012-07-13","","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2026-09-12T20:56:02","2024-04-23T00:00:00"
"NK-DmnvMQUSj6VzB3WZKdAbrp","LegalEntity","Pruton Mega Holding Limited","","","","","","2017-02-24","","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2026-09-12T20:56:02","2024-04-23T00:00:00"
"NK-ExmpHy6RZp8pSH9E7LhSua","LegalEntity","D'eet Investment Scheme","Deet Investment Scheme","","","","","2022-09-29","","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2026-09-12T20:56:02","2024-04-23T00:00:00"
"NK-G8Tex4WfUW6ybrP2nqNvnq","LegalEntity","Efzinitus Capital Pte Ltd","","","","","","2017-05-09","","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2026-09-12T20:56:02","2024-04-23T00:00:00"
"NK-H4XT4p83f6WBUXbmAJxaCh","LegalEntity","UFUNCLUB","","","","","","2014-07-25","","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2026-09-12T20:56:02","2024-04-23T00:00:00"
"NK-HD32UbSHz3qKDgNBttMbPu","LegalEntity","DDNK Menang Saham (potential clone entity)","","","","","","2024-10-01","","","","Malaysia Financial Consumer Alert List","2024-10-02T20:56:06","2026-09-12T20:56:02","2024-10-02T20:56:06"
"NK-HFudJxGayWqArqdzwVkFcd","LegalEntity","Exness Malaysia","","","","","","2017-08-28","","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2026-09-12T20:56:02","2024-04-23T00:00:00"
"NK-HQyYK2cMMMPWeNyuyKRfTN","LegalEntity","SMCI Corporation","","","","","","2017-07-31","","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2026-09-12T20:56:02","2024-04-23T00:00:00"
"NK-J9BgzCgc9kxhkJPEAA9AgT","LegalEntity","Cahaya Maju Investment","","","","","","2021-08-06","","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2026-09-12T20:56:02","2024-04-23T00:00:00"
"NK-JKZJKHXjmZhfwmEbimF2ki","LegalEntity","Empires Making Money For You (EMM4U)","Making Money For You (MM4U)","","","","","2018-02-28","","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2026-09-12T20:56:02","2024-04-23T00:00:00"
"NK-KEdoAwChcWsWXE6RuTVbe2","LegalEntity","Master Binary Trade","","","","","","2025-03-28","","","","Malaysia Financial Consumer Alert List","2025-03-29T20:56:05","2026-09-12T20:56:02","2025-03-29T20:56:05"
"NK-NhCd9JXRtyahwwBxaVG2Yf","LegalEntity","Maxim Capital Ltd","","","","","","2013-09-25","","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2026-09-12T20:56:02","2024-04-23T00:00:00"
"NK-NxdAgxJZhsCZ9bh2W9VFVP","LegalEntity","TP Eagle Venture Sdn Bhd (1114378-M)","","","","","","2016-07-12","","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2026-09-12T20:56:02","2024-04-23T00:00:00"
"NK-PXfXPtCpikWbRiY7YZZ5bJ","LegalEntity","Dana Haji Jasman","","","","","","2012-07-13","","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2026-09-12T20:56:02","2024-04-23T00:00:00"
"NK-RB3zqgFHp5ATzbpwvRwtAN","LegalEntity","One AutoCash","","","","","","2012-07-13","","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2026-09-12T20:56:02","2024-04-23T00:00:00"
"NK-S8mMMqDLc9mdEBsctDT924","LegalEntity","Madinah Mining Investment Pte Ltd","Madinah Mining;Madinah Mining Group Investment Pte Ltd","","","","","2022-03-10","","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2026-09-12T20:56:02","2024-04-23T00:00:00"
